ts,700FIC028_Y,700II781C_Y,700II782C_Y,700II783C_Y,700LI770B_Y,CUEI501_Y,CUFI008_Y,CUII503_Y,CULC501_Y,CULC508_Y,SOFC002_Y,SOFC007_Y,SORF001_Y,SWFC004_Y,SWRF001_Y,CUEI502_Y,CUEI503_Y,SWFC001_Y
2016-07-12 0:00,32.17403,13.22608,13.53725,13.59742,57.75349,16.92843,6.075186,100.8596,34.07219,49.91236,27.09365,3.146832,116.369,1.040659,79.90697,16.62936,16.82737,12.8745
2016-07-12 0:01,32.06405,9.414404,10.28217,10.32054,57.75945,18.27904,6.050002,108.1798,34.0062,49.93046,26.90794,3.141322,116.6662,1.017292,81.33105,18.59732,18.62467,12.37201
2016-07-12 0:02,32.20876,9.807193,11.52965,10.00512,57.75109,17.07017,6.053713,98.98508,34.01115,49.94326,26.82659,3.142141,116.113,0.9791262,79.86474,16.93091,16.82307,12.189
2016-07-12 0:03,32.1745,15.39919,15.52878,15.61818,57.75076,17.9341,6.077959,108.6269,34.02394,49.93918,26.48037,3.126388,116.5486,0.980876,77.98444,18.08318,18.33235,12.44402
2016-07-12 0:04,32.15032,12.64354,12.54185,12.64877,57.74354,17.36827,6.084131,98.18043,34.01924,49.9078,26.94508,3.128983,116.5777,1.020905,79.33493,17.23958,17.33637,12.91675
2016-07-12 0:05,32.27057,10.00257,9.978699,10.12203,57.7571,17.58645,6.06943,109.7988,33.97009,49.95658,26.67874,3.114184,116.5781,1.045522,80.88219,17.3742,17.79073,12.90582
2016-07-12 0:06,32.16558,11.73774,10.62591,10.68824,57.7554,17.98498,6.068716,99.37199,34.01326,49.99689,27.02152,3.115129,116.3231,1.022854,81.19862,18.17334,18.23496,12.53003
2016-07-12 0:07,32.05478,15.73642,15.92788,15.88821,57.74818,17.21424,6.083307,105.9598,33.97875,50.00795,27.00204,3.115943,115.4281,0.9808453,80.51566,16.96736,17.25007,12.25081
2016-07-12 0:08,32.19894,12.63777,12.52862,12.59194,57.74641,18.34183,6.068487,104.3308,34.01177,49.96723,27.3141,3.12753,113.9649,0.9799812,78.61822,18.71682,18.72268,12.43442
2016-07-12 0:09,32.07008,9.772239,9.968968,10.00777,57.75191,17.00797,6.064717,101.4372,33.993,50.07517,27.57457,3.147189,113.7343,1.006927,78.79795,16.72687,16.85991,12.51497
2016-07-12 0:10,32.07852,10.69075,11.58367,11.35709,57.75933,18.34228,6.087273,108.6008,33.97558,49.84451,27.36368,3.140612,114.2051,1.009018,79.72766,18.46956,18.78709,12.57886
2016-07-12 0:11,32.09183,15.35065,15.24191,15.45679,57.76189,16.99687,6.070156,99.1684,33.98623,49.92638,27.21471,3.129337,114.4555,0.9995544,80.64581,16.71722,16.79117,12.42138
2016-07-12 0:12,32.02466,11.76782,12.31763,12.60397,57.76873,18.13002,6.047911,109.3633,34.00917,49.92837,27.37673,3.137923,114.7493,0.9855015,80.57602,18.20484,18.6004,12.28155
2016-07-12 0:13,32.14977,10.5034,9.964567,10.00073,57.76372,17.37236,6.070476,98.37164,34.02594,49.982,27.68832,3.154243,114.2097,0.9705415,79.6189,17.26428,17.38513,12.05674
2016-07-12 0:14,32.12733,11.9613,11.93343,12.52301,57.77577,17.79808,6.079903,110.8786,33.94379,49.92337,27.85577,3.158,113.4167,0.9799755,78.58057,17.85473,18.26288,12.29661
2016-07-12 0:15,32.21879,15.33383,15.21717,15.28141,57.76985,18.11366,6.063214,99.86442,33.97583,49.83285,27.69541,3.159736,113.6504,0.9941142,80.9929,18.33715,18.37129,12.3694
2016-07-12 0:16,32.33463,11.63114,11.5494,13.94926,57.7691,17.26761,6.075536,106.0004,33.94847,49.99522,27.92114,3.159822,113.0655,0.9813258,81.10873,17.02278,17.31738,12.10502
2016-07-12 0:17,32.15228,9.11472,9.970644,10.62622,57.77094,18.19084,6.08682,101.7928,33.90965,49.76119,28.15457,3.175277,113.5023,0.9640878,78.63628,18.50668,18.40596,12.24614
2016-07-12 0:18,32.20551,11.80418,12.66197,10.33786,57.7777,16.87007,6.07958,102.2612,34.04649,49.88217,27.85568,3.17983,113.4941,1.001204,79.24587,16.50236,16.70913,12.69845
2016-07-12 0:19,32.2635,15.17703,15.25295,13.65815,57.78297,18.18458,6.070739,107.264,33.95557,50.02917,28.15536,3.180604,113.1242,1.034028,79.99861,18.50021,18.52079,12.93274
2016-07-12 0:20,32.154,11.61547,11.09585,13.67271,57.78518,16.94444,6.069403,98.73608,33.97198,49.96626,28.1382,3.196875,113.4317,1.044005,80.81867,16.67228,16.72502,12.9295
2016-07-12 0:21,32.01134,9.104419,9.979925,10.61413,57.79202,17.87299,6.08208,107.8517,33.96203,50.0501,28.06132,3.207174,113.7763,1.048923,80.27507,18.02151,18.27081,12.99898
2016-07-12 0:22,32.14831,12.68733,13.27104,14.01726,57.79871,17.13907,6.069594,97.43897,33.95582,49.96505,28.0973,3.206522,114.3018,1.032546,80.64434,16.98307,17.10753,12.8632
2016-07-12 0:23,32.2043,14.70003,14.58332,14.64165,57.80981,17.26743,6.078433,106.3899,33.9751,49.90356,28.01503,3.201999,114.4479,1.010115,79.22093,17.22354,17.64304,12.6124
2016-07-12 0:24,32.04781,10.63434,10.5988,10.64246,57.82161,17.8216,6.092264,97.57407,33.92855,49.93565,27.89594,3.202579,114.8481,1.03026,78.56692,17.98756,17.96,13.07947
2016-07-12 0:25,31.93716,8.994394,10.28696,10.01134,57.81985,16.97363,6.075581,104.284,33.94786,49.98243,27.76028,3.199087,115.0305,1.041779,80.47092,16.7129,16.97667,13.05021
2016-07-12 0:26,32.06897,13.44112,14.31078,14.3477,57.81974,17.96302,6.070517,101.0504,33.92062,49.88282,27.6978,3.194989,115.2942,1.02466,80.88223,18.29876,18.29025,12.62021
2016-07-12 0:27,31.97534,14.63032,14.61564,14.67973,57.82382,16.84571,6.045337,100.3477,33.88174,49.90588,27.50989,3.195452,115.7869,1.006541,79.837,16.52509,16.71073,12.53238
2016-07-12 0:28,32.08506,10.68326,10.63172,10.67521,57.83121,17.98034,6.047371,104.1044,33.88976,49.86042,27.45321,3.19386,115.8998,1.012044,78.93087,18.34548,18.45823,12.61372
2016-07-12 0:29,32.09233,8.990097,9.967539,10.00955,57.83467,16.71865,6.065726,98.02562,33.90997,49.83185,27.44548,3.179117,116.0192,1.037032,79.16224,16.39869,17.01937,13.13232
2016-07-12 0:30,32.01311,14.26026,14.53962,14.56826,57.83714,17.58657,6.047943,107.7896,33.98476,49.98455,27.29001,3.172532,116.2861,1.052643,80.45793,17.81437,18.17219,13.09699
2016-07-12 0:31,31.90586,13.73902,13.63366,13.74774,57.82159,16.9679,6.037584,96.47015,33.94577,49.80772,27.42945,3.167975,115.4796,1.015532,81.45031,16.81928,17.00647,12.58859
2016-07-12 0:32,32.06182,9.668444,10.30685,10.34725,57.81712,17.18392,6.037574,106.0583,33.92005,49.91784,27.02678,3.166963,117.2467,0.9888857,79.81203,17.38549,17.73193,12.431
2016-07-12 0:33,32.01435,9.172417,11.58756,10.8422,57.8045,17.58122,6.046327,97.81667,33.91171,49.79754,27.12497,3.167775,117.1782,0.9831242,79.60568,17.73619,17.52659,12.40365
2016-07-12 0:34,31.96559,14.66515,14.88017,14.79851,57.80678,16.93545,6.054605,103.8988,33.93652,49.86278,27.28866,3.163244,116.2108,0.9948618,79.25802,16.66474,16.95993,12.42018
2016-07-12 0:35,32.06573,13.66115,13.53331,13.60582,57.81495,18.18327,6.047473,99.98595,33.93764,49.80763,27.21869,3.154656,116.6283,0.9989666,79.97323,18.02971,18.15454,12.4276
2016-07-12 0:36,32.02622,9.616029,10.27093,10.31705,57.81324,16.68692,6.021062,101.5171,33.93533,49.95907,27.54183,3.155474,114.789,0.9802955,80.04751,16.29912,16.49837,12.34332
2016-07-12 0:37,31.9973,9.00248,9.97242,10.00579,57.81494,18.33902,6.042771,106.9429,34.00008,49.94538,27.41936,3.157962,115.2878,1.005896,78.9851,18.30912,18.57474,12.62022
2016-07-12 0:38,31.93691,15.12287,15.28606,15.36446,57.80431,16.71343,6.005695,98.30502,33.96555,49.84581,27.52192,3.158006,115.2351,1.013642,80.29971,16.36908,16.60599,12.62916
2016-07-12 0:39,32.13475,12.89983,13.48635,13.4277,57.7963,18.09805,6.023487,107.3373,33.94631,49.82053,27.35514,3.159844,115.3485,1.008584,80.13551,18.0042,18.21341,12.56024
2016-07-12 0:40,31.98026,9.392147,9.987008,10.06986,57.7896,17.14406,6.029047,96.77131,34.01915,49.74439,27.51334,3.152101,114.2724,1.006373,79.58904,16.90993,17.02835,12.4198
2016-07-12 0:41,32.05904,8.991369,9.967251,10.00373,57.79509,17.36696,6.026949,106.4654,33.93522,49.89477,27.65834,3.161376,114.4296,0.9955702,79.20914,17.16582,17.59909,12.42626
2016-07-12 0:42,32.20562,15.42824,15.43457,15.54449,57.79361,17.9601,6.016127,99.16654,33.96532,49.94011,27.86684,3.175204,113.9155,1.026665,79.11853,17.90434,17.85517,12.94421
2016-07-12 0:43,31.96806,12.66015,12.55826,12.65197,57.78395,17.1238,6.023852,105.4254,34.05798,49.82605,27.69769,3.163093,113.718,1.060696,80.67077,16.85055,17.13013,13.00056
2016-07-12 0:44,31.90376,9.307123,9.983974,10.03311,57.78746,18.11143,6.008225,100.5648,33.97527,49.87798,27.86327,3.176721,114.0494,1.038497,81.49736,18.25804,18.24783,12.62953
2016-07-12 0:45,32.13002,10.92358,11.80272,10.67075,57.7874,16.66376,6.038834,101.4119,34.04077,49.92777,27.70884,3.168596,114.5382,1.00277,80.99349,16.34385,16.50708,12.44347
2016-07-12 0:46,31.94951,13.02639,13.31633,15.48746,57.7949,18.18201,6.031677,103.2477,34.00416,49.8285,27.97105,3.172391,113.8224,0.9694096,80.13071,18.14013,18.3611,12.15804
2016-07-12 0:47,32.11487,11.23472,11.34576,12.6076,57.79108,16.74281,6.014664,98.56223,34.11179,49.84292,27.75345,3.166333,114.5652,0.979103,78.11607,16.41783,16.60149,12.48093
2016-07-12 0:48,32.04235,9.086657,11.53007,9.998886,57.78981,17.93105,6.033792,106.3304,34.08171,49.84094,27.93114,3.187768,115.3897,1.016654,79.66212,17.92829,18.21565,12.77419
2016-07-12 0:49,32.10927,11.85907,12.46047,11.09913,57.78362,17.07477,6.028226,96.41547,33.98381,49.85349,27.87172,3.180608,114.2354,1.015538,80.62074,16.84269,16.93466,12.51939
2016-07-12 0:50,32.17073,12.97083,13.18841,15.4743,57.78569,17.70634,6.020769,108.381,34.01207,49.73551,27.87206,3.201675,113.9072,0.9862435,80.30144,17.38504,18.05074,12.21747
2016-07-12 0:51,32.05202,10.72595,10.78623,12.22163,57.78155,18.08496,6.048559,97.81986,34.04895,49.78825,27.80502,3.185465,113.8615,0.9828373,77.97559,18.04181,17.75993,12.47061
2016-07-12 0:52,32.26656,9.83665,10.60769,10.00651,57.78372,17.24259,6.046155,106.4082,33.97498,49.85361,27.44111,3.188745,114.9903,0.9961583,79.6458,16.97255,17.2546,12.45392
2016-07-12 0:53,32.35696,12.91819,13.72243,12.04156,57.77757,18.25789,6.046299,100.8401,33.94619,49.90826,27.83192,3.189155,115.5531,0.9964684,80.15743,18.15472,18.29796,12.48564
2016-07-12 0:54,32.15233,13.26449,13.17245,15.28476,57.77746,17.03155,6.033167,101.5837,33.88816,49.825,27.59592,3.180362,115.7444,0.9987169,79.92025,16.70579,16.96404,12.69384
2016-07-12 0:55,32.0964,10.69255,10.63922,11.64369,57.77458,18.61008,6.025243,106.8958,34.01209,49.6725,27.44032,3.168486,115.9833,1.037635,79.91324,18.59402,18.76646,12.85436
2016-07-12 0:56,32.14669,10.6137,11.24774,10.00346,57.77159,16.91849,6.03025,98.45191,33.97371,49.87483,27.17232,3.163622,116.3747,1.007277,81.50584,16.56325,16.96778,12.40347
2016-07-12 0:57,32.2708,16.02816,15.92418,13.3496,57.77181,18.55543,6.026699,109.4767,33.91123,49.84472,27.08597,3.158622,115.3221,0.9683394,79.76295,18.47087,18.69755,12.08505
2016-07-12 0:58,32.23771,14.48675,14.61532,15.28139,57.76207,17.53414,6.046389,99.19897,33.93542,49.92962,27.37057,3.163652,115.2378,0.9717712,78.79694,17.26559,17.44318,12.36371
2016-07-12 0:59,32.27871,10.92648,10.86612,11.60745,57.7683,18.02236,6.041587,109.6272,33.96217,49.83986,27.3537,3.160154,115.971,0.9884568,80.37509,17.91839,18.3343,12.31248
2016-07-12 1:00,32.07062,9.996987,9.971196,9.999355,57.77125,18.13365,6.022689,97.95031,33.999,49.86746,27.45005,3.167412,115.3633,1.009825,78.91553,18.04766,18.03268,12.52097
2016-07-12 1:01,32.18764,14.24606,14.13888,13.23396,57.7607,17.40346,6.018178,107.2109,34.00943,49.88773,27.26734,3.150338,114.9728,1.039929,78.65431,17.05494,17.41606,13.44549
2016-07-12 1:02,32.02846,13.74691,13.71281,14.71571,57.7607,18.50233,6.033011,102.6073,34.02001,49.83775,27.28172,3.165374,115.0074,1.057696,81.76665,18.48389,18.50336,13.06923
2016-07-12 1:03,32.08931,10.62628,10.61188,11.14753,57.76144,16.88417,6.036467,101.888,33.96561,49.8511,27.43407,3.167832,114.8867,1.017973,81.63725,16.56807,16.8665,12.33659
2016-07-12 1:04,32.10315,10.00435,9.975116,10.33069,57.76077,18.48074,6.066477,106.2441,34.00636,50.00944,27.21843,3.155279,115.2978,0.9837127,80.13612,18.49989,18.75776,12.37796
2016-07-12 1:05,32.19134,13.42087,14.20365,14.30831,57.75993,16.70453,6.049324,97.74059,34.02682,49.72051,27.65699,3.15819,115.1935,0.9890167,77.84699,16.37797,16.63291,12.62124
2016-07-12 1:06,32.22831,11.6985,11.79595,14.59327,57.75399,18.04853,6.057097,106.7173,33.9758,49.90702,27.60724,3.173277,114.1755,1.005896,80.45012,18.02979,18.47745,12.58135
2016-07-12 1:07,32.1642,9.673785,9.969184,10.63754,57.74957,17.21528,6.03794,96.49401,34.00322,49.83041,27.91913,3.180322,113.4035,1.003792,79.96257,16.82386,17.03471,12.58389
2016-07-12 1:08,32.18607,12.53981,12.8033,10.00888,57.75029,17.66633,6.044065,106.2179,34.0144,49.90506,27.7957,3.174065,113.3732,0.9967511,79.67487,17.30614,18.00508,12.40202
2016-07-12 1:09,32.2639,15.05296,15.9197,14.59548,57.75198,17.80296,6.033786,98.53938,34.00529,49.83329,27.92188,3.193451,113.7691,0.989991,80.47686,17.71353,17.47262,12.34525
